group,band,wins,n_folds,selected
coherence,Delta,2,7,True
coherence,Theta,0,7,False
coherence,Alpha,0,7,False
coherence,Beta,0,7,False
coherence,HighBeta,1,7,False
coherence,Alpha1,0,7,False
coherence,Alpha2,0,7,False
coherence,Beta1,1,7,False
coherence,Beta2,1,7,False
coherence,Beta3,2,7,True
phaselag,Delta,2,7,True
phaselag,Theta,2,7,True
phaselag,Alpha,0,7,False
phaselag,Beta,0,7,False
phaselag,HighBeta,1,7,False
phaselag,Alpha1,0,7,False
phaselag,Alpha2,1,7,False
phaselag,Beta1,0,7,False
phaselag,Beta2,1,7,False
phaselag,Beta3,0,7,False
power_uv1,Delta,2,7,True
power_uv1,Theta,3,7,True
power_uv1,Alpha,0,7,False
power_uv1,Beta,2,7,False
power_uv1,HighBeta,0,7,False
power_uv1,Alpha1,0,7,False
power_uv1,Alpha2,0,7,False
power_uv1,Beta1,0,7,False
power_uv1,Beta2,0,7,False
power_uv1,Beta3,0,7,False
