feature,mean_abs_shap,sd_abs_shap,n_folds
coherence__Beta2__mean,0.7591018080711365,,1
coherence__Beta3__mean,0.7434161305427551,,1
clinical__pain_t1,0.7219532499890443,0.6504005864467314,5
phaselag__Delta__mean,0.5727252680808306,0.7738075802155887,2
power_uv1__Theta__mean,0.5692645808060964,0.618719853673585,3
power_uv1__Beta3__mean,0.567192792892456,,1
phaselag__Beta2__mean,0.5243018269538879,,1
phaselag__Beta3__mean,0.4720509946346283,0.6675809187440005,2
coherence__HighBeta__mean,0.40250852704048157,,1
power_uv1__Beta2__mean,0.3740817904472351,,1
coherence__Alpha2__mean,0.3542957305908203,,1
phaselag__HighBeta__mean,0.23425834976879065,0.3690429289867839,4
clinical__neurop_months,0.2234845707193017,0.3098761405812444,5
clinical__age,0.2110397508717142,0.2928910321413458,5
power_uv1__Beta__mean,0.01479883398860693,0.020928711733995846,2
coherence__Beta1__mean,0.006923221051692963,0.011991370613562648,3
power_uv1__Alpha2__mean,0.003516959957778454,0.004973732470613397,2
coherence__Beta__mean,0.00021544874471146613,0.00030469053676721405,2
coherence__Delta__std,0.0,,1
coherence__Alpha2__std,0.0,,1
power_uv1__Beta__std,0.0,0.0,2
power_uv1__Beta3__std,0.0,,1
power_uv1__Beta2__std,0.0,,1
coherence__Beta1__std,0.0,0.0,3
power_uv1__Alpha__std,0.0,,1
power_uv1__Alpha__mean,0.0,,1
power_uv1__Alpha2__std,0.0,0.0,2
phaselag__Theta__std,0.0,,1
coherence__Delta__mean,0.0,,1
phaselag__Theta__mean,0.0,,1
phaselag__HighBeta__std,0.0,0.0,4
coherence__Beta2__std,0.0,,1
phaselag__Delta__std,0.0,0.0,2
coherence__Beta3__std,0.0,,1
phaselag__Beta3__std,0.0,0.0,2
phaselag__Beta2__std,0.0,,1
coherence__Beta__std,0.0,0.0,2
coherence__HighBeta__std,0.0,,1
power_uv1__Theta__std,0.0,0.0,3
