sheet,band,count,n_folds,selected
coherence,Delta,1,7,False
coherence,Theta,5,7,True
coherence,Alpha,3,7,False
coherence,Beta,2,7,False
coherence,HighBeta,1,7,False
coherence,Alpha1,4,7,False
coherence,Alpha2,1,7,False
coherence,Beta1,3,7,False
coherence,Beta2,4,7,False
coherence,Beta3,1,7,False
phase_lag,Delta,5,7,True
phase_lag,Theta,1,7,False
phase_lag,Alpha,3,7,False
phase_lag,Beta,1,7,False
phase_lag,HighBeta,3,7,False
phase_lag,Alpha1,1,7,False
phase_lag,Alpha2,2,7,False
phase_lag,Beta1,5,7,True
phase_lag,Beta2,3,7,False
phase_lag,Beta3,0,7,False
power_uv1,Delta,0,7,False
power_uv1,Theta,2,7,False
power_uv1,Alpha,4,7,False
power_uv1,Beta,1,7,False
power_uv1,HighBeta,2,7,False
power_uv1,Alpha1,0,7,False
power_uv1,Alpha2,5,7,True
power_uv1,Beta1,1,7,False
power_uv1,Beta2,2,7,False
power_uv1,Beta3,1,7,False
